,ラス率,和了率,和了素点,和了平均巡目,和了時平均ドラ数,放銃率,放銃素点,リーチ率,1副露率,2副露率
ASAPIN,0.205,0.2238,5570.4564,11.4607,1.2204,0.1167,-4926.5285,0.17,0.3592,0.1459
（≧▽≦）,0.206,0.2213,5405.4618,11.3668,1.2308,0.114,-4979.9272,0.1721,0.4051,0.167
独歩,0.224,0.222,5625.3614,11.5746,1.2309,0.1316,-5020.2826,0.1574,0.3477,0.1348
すずめクレイジー,0.201,0.2065,5843.82,11.5155,1.2649,0.1056,-4615.4553,0.1371,0.3073,0.1082
太くないお,0.222,0.2232,5526.5644,11.2261,1.1988,0.1138,-4901.0762,0.1789,0.3743,0.1565
タケオしゃん,0.218,0.2136,5592.5422,11.4118,1.2394,0.1146,-4760.6453,0.1417,0.3386,0.1294
コーラ下さい,0.223,0.2239,5417.4255,11.3874,1.2158,0.1254,-4917.4398,0.1457,0.3752,0.1425
かにマジン,0.229,0.2205,5612.971,11.3939,1.2066,0.1258,-4822.3194,0.1599,0.3436,0.1329
就活生@川村軍団,0.24,0.2243,5665.5606,11.5672,1.2423,0.1338,-4964.5324,0.1688,0.3432,0.1444
ウルトラ立直,0.219,0.2138,5634.1861,11.4026,1.2301,0.1152,-4875.9394,0.1593,0.3477,0.1357
トトリ先生19歳,0.212,0.2235,5493.6728,11.3974,1.1898,0.1142,-4864.3956,0.1631,0.3958,0.1617
おかもと,0.215,0.2063,5640.6444,11.3657,1.2288,0.1102,-4844.1602,0.1629,0.3527,0.145
gousi,0.22,0.2077,5741.0033,11.4119,1.241,0.1115,-4883.4667,0.1628,0.3059,0.1069
お知らせ,0.227,0.2098,5860.923,11.3901,1.2634,0.1174,-5003.8528,0.1977,0.2999,0.1197
右折するひつじ,0.211,0.2147,5754.966,11.35,1.2435,0.1087,-5004.9885,0.1626,0.3531,0.1436
